name,clubNumber,leagueNumber
Bayern Munich,1,1
RB Leipzig,2,1
VfB Stuttgart,3,1
VfL Wolfsburg,4,1
FC Köln (Cologne),5,1
Athletic Club (Bilbao),6,2
Atlético Madrid,7,2
Barcelona,8,2
CA Osasuna,9,2
Real Betis,10,2
Real Madrid,11,2
Valencia CF,12,2
AS Roma,13,3
Como,14,3
Fiorentina,15,3
Genoa,16,3
Inter Milan,17,3
Juventus,18,3
Napoli,19,3
Arsenal,20,4
Brighton & Hove Albion,21,4
Chelsea,22,4
Crystal Palace,23,4
Liverpool,24,4
Manchester City,25,4
Manchester United,26,4
AS Monaco,27,5
FC Metz,28,5
Lille OSC,29,5
OGC Nice,30,5
Olympique de Marseille,31,5
Olympique Lyonnais,32,5
Paris FC,33,5
Paris Saint-Germain,34,5
RC Strasbourg,35,5
